iter	Passed	Remaining
185	9121	88958
186	9166	88867
187	9219	88857
188	9272	88850
189	9320	88790
190	9371	88758
191	9421	88722
192	9471	88677
193	9525	88674
194	9576	88645
195	9630	88638
196	9675	88551
197	9725	88508
198	9776	88476
199	9818	88370
200	9868	88328
201	9923	88329
202	9974	88299
203	10024	88256
204	10075	88224
205	10127	88193
206	10176	88145
207	10230	88137
208	10276	88059
209	10329	88048
210	10376	87980
211	10429	87962
212	10476	87890
213	10530	87888
214	10584	87874
215	10631	87805
216	10682	87776
217	10738	87781
218	10789	87748
219	10834	87662
220	10891	87678
221	10940	87624
222	10992	87591
223	11044	87568
224	11091	87502
225	11147	87506
226	11204	87517
227	11256	87485
228	11308	87454
229	11363	87450
230	11419	87450
231	11470	87416
232	11526	87410
233	11574	87350
234	11626	87324
235	11673	87254
236	11727	87235
237	11778	87200
238	11827	87147
239	11877	87105
240	11922	87020
241	11974	86985
242	12031	86994
243	12089	87004
244	12135	86927
245	12194	86947
246	12249	86934
247	12298	86880
248	12345	86812
249	12395	86765
250	12452	86770
251	12503	86730
252	12561	86737
253	12606	86655
254	12651	86579
255	12699	86515
256	12755	86506
257	12800	86428
258	12853	86403
259	12907	86380
260	12960	86356
261	13015	86339
262	13067	86305
263	13121	86282
264	13175	86260
265	13233	86264
266	13287	86246
267	13340	86217
268	13392	86178
269	13445	86152
270	13497	86117
271	13545	86055
272	13591	85981
273	13645	85959
274	13701	85944
275	13744	85851
276	13792	85790
277	13845	85761
278	13898	85733
279	13945	85666
280	13992	85598
281	14042	85551
282	14092	85501
283	14149	85496
284	14203	85468
285	14249	85395
286	14300	85352
287	14355	85332
288	14406	85294
289	14451	85213
290	14505	85185
291	14555	85139
292	14606	85096
293	14658	85056
294	14711	85030
295	14763	84989
296	14809	84916
297	14861	84880
298	14910	84825
299	14964	84799
300	15014	84752
301	15067	84716
302	15117	84666
303	15169	84630
304	15226	84619
305	15283	84608
306	15339	84590
307	15390	84547
308	15442	84510
309	15504	84526
310	15568	84550
311	15620	84509
312	15677	84499
313	15739	84511
314	15788	84458
315	15844	84439
316	15896	84399
317	15944	84333
318	15999	84312
319	16057	84299
320	16109	84260
321	16167	84250
322	16218	84203
323	16278	84208
324	16338	84206
325	16396	84196
326	16451	84170
327	16512	84174
328	16569	84158
329	16625	84137
330	16680	84110
331	16741	84110
332	16792	84062
333	16845	84027
334	16906	84026
335	16949	83941
336	17005	83915
337	17052	83850
338	17104	83807
339	17164	83801
340	17216	83758
341	17270	83725
342	17322	83685
343	17369	83614
344	17415	83542
345	17465	83492
346	17516	83442
347	17571	83414
348	17629	83399
349	17692	83406
350	17745	83367
351	17799	83333
352	17850	83283
353	17907	83266
354	17961	83230
355	18016	83201
356	18071	83169
357	18131	83160
358	18184	83124
359	18239	83089
360	18284	83014
361	18336	82970
362	18388	82927
363	18440	82880
364	18491	82833
365	18543	82787
366	18592	82729
367	18648	82701
368	18700	82656
369	18748	82595
370	18794	82521
371	18847	82481
372	18899	82436
373	18948	82378
374	19002	82345
375	19054	82299
376	19110	82270
377	19161	82223
378	19211	82170
379	19263	82125
380	19319	82093
381	19371	82050
382	19421	81995
383	19476	81965
384	19530	81925
385	19580	81874
386	19636	81843
387	19687	81795
388	19739	81750
389	19782	81666
390	19832	81612
391	19877	81537
392	19928	81488
393	19982	81453
394	20023	81362
395	20078	81327
396	20124	81256
397	20174	81206
398	20229	81172
399	20284	81137
