iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
247	111815	126000	48794	55340	56433
248	111814	126000	48792	55337	56433
249	111811	126000	48788	55332	56433
250	111823	126000	48799	55342	56433
251	111823	126000	48798	55340	56433
252	111825	126000	48798	55338	56433
253	111819	126000	48791	55330	56433
254	111817	126000	48792	55334	56433
255	111822	126000	48795	55335	56433
256	111823	126000	48794	55332	56433
257	111821	126000	48796	55338	56433
258	111821	126000	48800	55346	56433
259	111823	126000	48799	55342	56433
260	111820	126000	48798	55343	56433
261	111825	126000	48800	55342	56433
262	111825	126000	48802	55346	56433
263	111826	126000	48801	55343	56433
264	111825	126000	48801	55344	56433
265	111823	126000	48799	55342	56433
266	111834	126000	48804	55341	56433
267	111834	126000	48804	55341	56433
268	111835	126000	48805	55342	56433
269	111838	126000	48807	55343	56433
270	111833	126000	48802	55338	56433
271	111832	126000	48802	55339	56433
272	111840	126000	48807	55341	56433
273	111845	126000	48809	55340	56433
274	111846	126000	48808	55337	56433
275	111840	126000	48805	55337	56433
276	111839	126000	48804	55336	56433
277	111841	126000	48804	55334	56433
278	111839	126000	48805	55338	56433
279	111838	126000	48802	55333	56433
280	111830	126000	48799	55335	56433
281	111834	126000	48802	55337	56433
282	111838	126000	48803	55335	56433
283	111832	126000	48803	55341	56433
284	111836	126000	48802	55335	56433
285	111839	126000	48802	55332	56433
286	111837	126000	48804	55338	56433
287	111841	126000	48806	55338	56433
288	111839	126000	48806	55340	56433
289	111843	126000	48806	55336	56433
290	111840	126000	48808	55343	56433
291	111838	126000	48809	55347	56433
292	111841	126000	48811	55348	56433
293	111838	126000	48809	55347	56433
294	111839	126000	48805	55338	56433
295	111839	126000	48807	55342	56433
296	111838	126000	48805	55339	56433
297	111837	126000	48809	55348	56433
298	111839	126000	48809	55346	56433
299	111846	126000	48813	55347	56433
300	111846	126000	48814	55349	56433
301	111844	126000	48815	55353	56433
302	111841	126000	48814	55354	56433
303	111841	126000	48817	55360	56433
304	111845	126000	48818	55358	56433
305	111852	126000	48821	55357	56433
306	111848	126000	48819	55357	56433
307	111841	126000	48817	55360	56433
308	111844	126000	48818	55359	56433
309	111843	126000	48819	55362	56433
310	111839	126000	48817	55362	56433
311	111843	126000	48815	55354	56433
312	111837	126000	48814	55358	56433
313	111839	126000	48816	55360	56433
314	111840	126000	48814	55355	56433
315	111840	126000	48814	55355	56433
316	111846	126000	48818	55357	56433
317	111847	126000	48817	55354	56433
318	111846	126000	48817	55355	56433
319	111850	126000	48818	55353	56433
320	111849	126000	48819	55356	56433
321	111850	126000	48822	55361	56433
322	111850	126000	48821	55359	56433
323	111854	126000	48823	55359	56433
324	111857	126000	48824	55358	56433
325	111859	126000	48825	55358	56433
326	111854	126000	48823	55359	56433
327	111859	126000	48823	55354	56433
328	111861	126000	48827	55360	56433
329	111859	126000	48825	55358	56433
330	111851	126000	48818	55352	56433
331	111852	126000	48820	55355	56433
332	111858	126000	48822	55353	56433
333	111853	126000	48820	55354	56433
334	111854	126000	48820	55353	56433
335	111856	126000	48821	55353	56433
336	111858	126000	48824	55357	56433
